CooperatorCode,SurveyID,SurveyStatusID,RegionID,HexagonName,State,BirdPtID,PointID,NP,NWR,NWR_Comp,SMI_Unit,Rest_Unit,ContSite,Date,Time,SHARPTide,LowMarshCC,HighMarshCC,SaltMarshTBorderCC,BrackishTBorderCC,InvasivesCC,PannesChannelsCC,UplandCC,Wrack,OpenWater,DeadSnags,DomSp1,Sp1Percent,DomSp2,Sp2Percent,DomSp3,Sp3Percent,DomSp4,Sp4Percent,DomSp5,Sp5Percent,DomSp6,Sp6Percent,DomSp7,Sp7Percent,DomSp8,Sp8Percent,DomSp9,Sp9Percent,DomSp10,Sp10Percent,ObserverInitials,Comments,IsSMI,IsSMI_pilot,IsUSFWS_h,IsSHARP,IsOther_h,IsRest,IsControl,IsKIRA,IsNPS,IsDemo,IsExclosure,IsNBI,IsCNC,IsRapidDemo,IsDNRECSurvey
SHARP,1182,0,1,204340,ME,204340_p3,52,NA,NA,NA,NA,NA,NA,7/6/2011,10:15:00,Low/Rising,1,0,0,5,2,1,3,0,0,2,Spartina alterniflora-tall,5,Bolboschoenus robustus,60,Phragmites australis,7,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1183,0,1,202378,ME,202378_p3,53,NA,NA,NA,NA,NA,NA,7/12/2011,6:35:00,Low/Rising,2,0,0,5,0,0.5,1,2,0.5,0,Spartina alterniflora-tall,10,Typha angustifolia,40,Bolboschoenus robustus,35,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1184,0,1,202378,ME,202378_p15,54,NA,NA,NA,NA,NA,NA,7/11/2011,9:35:00,High/Falling,0,0,0,6,0,0,3,0,0,0,Bolboschoenus robustus,80,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1185,0,1,33782,ME,33782_HHO204,55,NA,NA,NA,NA,NA,NA,7/12/2011,7:00:00,Low/Rising,0,0,0,6,0,0.5,3,0,0,1,Bolboschoenus robustus,85,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N
SHARP,1186,0,1,202378,ME,202378_p13,56,NA,NA,NA,NA,NA,NA,7/12/2011,5:45:00,Low/Rising,0,0,0,6,0,1,2,0,0,0,Typha angustifolia,90,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1187,0,1,33782,ME,33782_HHO221,57,NA,NA,NA,NA,NA,NA,7/12/2011,10:12:00,High/Falling,1,0,0,6,0,1,0,1,0,0,Bolboschoenus robustus,20,Schoenoplectus americanus,5,Typha angustifolia,85,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1188,0,1,33782,ME,33782_HHO218,58,NA,NA,NA,NA,NA,NA,7/12/2011,8:23:00,Low/Rising,1,0,0,6,0,2,0,1,0,0,Bolboschoenus robustus,40,Typha angustifolia,40,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1189,0,1,33782,ME,33782_HHO208,59,NA,NA,NA,NA,NA,NA,7/12/2011,7:25:00,Low/Rising,1,0,0,6,0,1,3,0,0,0,Bolboschoenus robustus,80,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1190,0,1,193745,ME,193745_HHO025,60,NA,NA,NA,NA,NA,NA,7/20/2011,5:30:00,Low/Falling,1,0,0,6,0,0.5,1,0,0,0,Spartina pectinata,85,Typha angustifolia,10,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1191,0,1,198454,ME,198454_p7,61,NA,NA,NA,NA,NA,NA,7/10/2011,8:06:00,High/Falling,0,0,0.5,3,0,1,3,0.5,5,0,Typha latifolia,15,Solidago sempervirens,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1192,0,1,193745,ME,193745_HHO029,62,NA,NA,NA,NA,NA,NA,7/20/2011,6:10:00,Low/Falling,0,0,5,0,0,0,4,0,0,0,Spartina pectinata,45,Bolboschoenus robustus,2,Iva frutescens,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1193,0,1,29071,ME,29071_p6,63,NA,NA,NA,NA,NA,NA,7/10/2011,9:43:00,High/Falling,0,1,0,0,0,0,5,0,4,0,Spartina alterniflora-short,5,Spartina patens,1,Juncus gerardii,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1194,0,1,200415,ME,200415_p3,64,NA,NA,NA,NA,NA,NA,7/21/2011,8:10:00,Low/Falling,2,1,0,0,0,0,4,0.5,4,1,Spartina alterniflora-tall,8,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1195,0,1,23971,ME,23971_p5,65,NA,NA,NA,NA,NA,NA,7/20/2011,10:12:00,Low,3,1,0,0,0,0,4,0,4,0,Spartina alterniflora-tall,0,Prunus maritima,2,Puccinellia maritima,2,Solidago sempervirens,1,NA,,NA,,NA,,NA,,NA,,NA,,JKG,check spelling for P. maritima.,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1196,0,1,35351,ME,35351_p1,66,NA,NA,NA,NA,NA,NA,7/6/2011,10:48:00,Low/Rising,4,1,0,0,2,0,4,0.5,3,0,Spartina alterniflora-tall,20,Phragmites australis,10,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1197,0,1,200415,ME,200415_p1,67,NA,NA,NA,NA,NA,NA,7/21/2011,8:40:00,Low/Falling,6,1,0,1,0,1,2,0,0,0,Spartina alterniflora-tall,80,Bolboschoenus robustus,3,Spartina patens,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1198,0,1,204340,ME,204340_p1,68,NA,NA,NA,NA,NA,NA,7/6/2011,8:16:00,Low/Falling,1,1,0,4,0,0.5,4,0,0,1,Tripleurospermum maritimum,0,Typha angustifolia,40,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1199,0,1,201593,ME,201593_p8,69,NA,NA,NA,NA,NA,NA,7/15/2011,10:40:00,High/Rising,1,1,0.5,0,0,2,6,0,0,1,Spartina alterniflora-tall,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1200,0,1,201986,ME,201986_p2,70,NA,NA,NA,NA,NA,NA,7/16/2011,8:23:00,Low/Rising,5,1,0.5,0,0,0.5,4,1,2,1,Spartina alterniflora-tall,55,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,fallen snag,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1201,0,1,34173,ME,34173_p2,71,NA,NA,NA,NA,NA,NA,7/8/2011,6:18:00,High/Falling,2,1,1,0,0,1,5,0,0,0,Spartina alterniflora-tall,7,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1202,0,1,33781,ME,33781_p6,72,NA,NA,NA,NA,NA,NA,7/10/2011,11:00:00,Low/Falling,3,1,1,0,0,0,4,0,4,0,Spartina alterniflora-tall,20,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1203,0,1,202378,ME,202378_p4,73,NA,NA,NA,NA,NA,NA,7/12/2011,6:11:00,Low/Rising,4,1,1,0,0,0,4,0,4,0,Spartina alterniflora-tall,30,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1204,0,1,193745,ME,193745_HHO023,74,NA,NA,NA,NA,NA,NA,7/20/2011,7:49:00,Low,5,1,1,0,0,3,1,0,0,0,Spartina alterniflora-tall,75,Juncus gerardii,2,Schoenoplectus americanus,2,Spartina pectinata,3,NA,,NA,,NA,,NA,,NA,,NA,,JKG,check spelling for pectinata,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1205,0,1,29074,ME,29074_p4,75,NA,NA,NA,NA,NA,NA,7/17/2011,7:23:00,Low,1,1,3,4,0,0,3,0,3,0,Poaceae sp.,70,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MEP,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1206,0,1,29071,ME,29071_p5,76,NA,NA,NA,NA,NA,NA,7/11/2011,7:17:00,High,0,2,0,0,0,1,6,0,0,0,Spartina patens,5,Spartina alterniflora-short,1,Juncus gerardii,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1207,0,1,28285,ME,28285_p1,77,NA,NA,NA,NA,NA,NA,7/11/2011,10:11:00,High/Falling,0,2,0,0,0,1,6,0,0,0,Spartina alterniflora-short,5,Spartina patens,3,Juncus gerardii,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1208,0,1,192567,ME,192567_p2,78,NA,NA,NA,NA,NA,NA,7/21/2011,6:21:00,Low/Falling,3,2,0,0,0,0,4,1,4,0,Spartina alterniflora-tall,25,Bolboschoenus robustus,5,Juncus gerardii,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,JKG,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1209,0,1,34173,ME,34173_p1,79,NA,NA,NA,NA,NA,NA,7/7/2011,10:29:00,Low/Rising,3,2,0,0,0,2,5,0,0,0,Spartina alterniflora-tall,15,Spartina patens,7,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1210,0,1,202770,ME,202770_p6,80,NA,NA,NA,NA,NA,NA,7/8/2011,10:32:00,Low/Falling,4,2,0,0,0,3,5,0,0,0,Spartina alterniflora-tall,45,Spartina patens,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,coniferous forest,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1211,0,1,26718,ME,26718_HHO088,81,NA,NA,NA,NA,NA,NA,7/18/2011,9:55:00,Low/Rising,6,2,0,0,0,1,0,0,0,0,Spartina alterniflora-tall,80,Spartina patens,6,Spartina alterniflora-short,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1212,0,1,31427,ME,31427_HHO161,82,NA,NA,NA,NA,NA,NA,7/15/2011,5:11:00,Low,0,2,0,1,0,1,6,0,0,0,Spartina patens,5,Juncus gerardii,3,Typha angustifolia,3,Spartina alterniflora-short,2,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1213,0,1,200417,ME,200417_p5,83,NA,NA,NA,NA,NA,NA,7/15/2011,9:06:00,Low/Rising,0,2,0,1,0,0.5,6,0,0,3,Spartina patens,5,Juncus gerardii,3,Spartina alterniflora-short,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1214,0,1,204340,ME,204340_p2,84,NA,NA,NA,NA,NA,NA,7/6/2011,9:50:00,Low/Rising,4,2,0,3,0,1,4,0,0,3,Spartina alterniflora-tall,45,Spartina patens,10,Atriplex patula,3,Solidago sempervirens,18,NA,,NA,,NA,,NA,,NA,,NA,,LNF,"2 trees down, 1 standing",N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1215,0,1,202378,ME,202378_p12,85,NA,NA,NA,NA,NA,NA,7/12/2011,5:20:00,Low/Rising,3,2,0,5,0,0,0,0,0,0,Spartina alterniflora-tall,20,Spartina alterniflora-short,5,Typha angustifolia,50,Bolboschoenus robustus,15,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1216,0,1,202378,ME,202378_p10,86,NA,NA,NA,NA,NA,NA,7/11/2011,11:03:00,Low/Falling,0,2,0,6,0,0,0,0,0,0,Spartina patens,5,Tripleurospermum maritimum,3,Juncus arcticus littoralis,10,Typha angustifolia,45,Bolboschoenus robustus,15,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N
SHARP,1217,0,1,33781,ME,33781_p1,87,NA,NA,NA,NA,NA,NA,7/11/2011,5:35:00,Low/Rising,3,2,1,0,0,0,4,3,4,8,Spartina alterniflora-tall,25,Spartina patens,5,Glaux maritima,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,"4 standing, 4 down",N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1218,0,1,201986,ME,201986_p5,88,NA,NA,NA,NA,NA,NA,7/15/2011,8:56:00,Low/Rising,4,2,1,0,0,2,5,1,0,1,Spartina alterniflora-tall,30,Spartina patens,7,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1219,0,1,200415,ME,200415_HHO165,89,NA,NA,NA,NA,NA,NA,7/21/2011,9:30:00,Low,5,2,1,0,0,1,2,0,0,1,Spartina alterniflora-tall,75,Spartina patens,6,Juncus gerardii,2,Iva frutescens,1,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1220,0,1,201986,ME,201986_p4,90,NA,NA,NA,NA,NA,NA,7/15/2011,9:23:00,Low/Rising,4,2,1,1,0,1,5,0.5,0,1,Spartina alterniflora-tall,30,Spartina patens,8,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1221,0,1,33782,ME,33782_HHO223,91,NA,NA,NA,NA,NA,NA,7/12/2011,11:02:00,High/Falling,2,2,1,5,0,2,3,0.5,0,0,Spartina alterniflora-tall,7,Spartina patens,4,Prunus maritima,3,Bolboschoenus robustus,40,Typha angustifolia,30,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1222,0,1,29071,ME,29071_p4,94,NA,NA,NA,NA,NA,NA,7/11/2011,6:00:00,High/Rising,0,2,3,0,0,0.5,4,0,3,0,Spartina patens,10,Solidago sempervirens,5,Argentina anserina,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1223,0,1,28285,ME,28285_p4,95,NA,NA,NA,NA,NA,NA,7/11/2011,9:43:00,High/Falling,0,3,0,0,0,1,4,0,3,0,Spartina alterniflora-short,10,Spartina patens,5,Juncus gerardii,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1224,0,1,31427,ME,31427_HHO158,96,NA,NA,NA,NA,NA,NA,7/15/2011,6:39:00,Low,0,3,0,0,0,1,4,0,3,0,Spartina patens,15,Juncus gerardii,5,Spartina alterniflora-short,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1225,0,1,28285,ME,28285_p5,97,NA,NA,NA,NA,NA,NA,7/11/2011,8:00:00,High,0,3,0,0,0,1,6,0,0,0,Spartina patens,15,Spartina alterniflora-short,5,Juncus gerardii,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1226,0,1,200417,ME,200417_p6,98,NA,NA,NA,NA,NA,NA,7/15/2011,8:24:00,Low/Rising,0,3,0,0,0,0,5,0,3,0,Spartina patens,15,Spartina alterniflora-short,5,Juncus gerardii,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1227,0,1,200417,ME,200417_p4,99,NA,NA,NA,NA,NA,NA,7/15/2011,8:48:00,Low/Rising,0,3,0,0,0,0,5,0,3,0,Spartina patens,15,Spartina alterniflora-short,5,Juncus gerardii,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1228,0,1,194531,ME,194531_HHO041,100,NA,NA,NA,NA,NA,NA,7/20/2011,6:49:00,High/Falling,0,3,0,0,0,3,3,0,3,0,Spartina patens,20,Juncus gerardii,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
SHARP,1229,0,1,200417,ME,200417_p3,101,NA,NA,NA,NA,NA,NA,7/17/2011,5:05:00,Low/Falling,0,3,0,0,0,1,5,0,2,0,Spartina patens,20,Spartina alterniflora-short,10,Juncus gerardii,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1230,0,1,28285,ME,28285_p7,102,NA,NA,NA,NA,NA,NA,7/11/2011,8:33:00,High,0,3,0,0,0,1,6,0,0,0,Spartina patens,20,Spartina alterniflora-short,3,Juncus gerardii,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1231,0,1,192568,ME,192568_p7,103,NA,NA,NA,NA,NA,NA,7/21/2011,6:55:00,High/Falling,0,3,0,0,0,0,5,0,5,0,Juncus gerardii,20,Spartina patens,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1232,0,1,28285,ME,28285_p3,104,NA,NA,NA,NA,NA,NA,7/11/2011,8:56:00,High,0.5,3,0,0,0,1,4,0,4,0,Spartina patens,10,Juncus gerardii,5,Spartina alterniflora-short,5,Spartina alterniflora-tall,1,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1233,0,1,195316,ME,195316_p5,105,NA,NA,NA,NA,NA,NA,7/19/2011,8:12:00,Low,1,3,0,0,0,0,5,0,3,0,Spartina alterniflora-tall,3,Prunus maritima,1,Juncus gerardii,15,Distichlis spicata,5,NA,,NA,,NA,,NA,,NA,,NA,,JKG,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1234,0,1,35351,ME,35351_p5,106,NA,NA,NA,NA,NA,NA,7/7/2011,6:45:00,High/Falling,3,3,0,0,0,0,3,3,4,0,Spartina alterniflora-tall,15,Spartina patens,13,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1235,0,1,35351,ME,35351_p2,107,NA,NA,NA,NA,NA,NA,7/7/2011,5:45:00,High/Falling,3,3,0,0,0,0,4,0,5,0,Spartina alterniflora-tall,20,Spartina patens,15,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1236,0,1,23971,ME,23971_p7,108,NA,NA,NA,NA,NA,NA,7/20/2011,10:29:00,Low,4,3,0,0,0,0,4,0,3,0,Spartina alterniflora-tall,30,Spartina patens,15,Solidago sempervirens,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,JKG,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1237,0,1,23971,ME,23971_p2,109,NA,NA,NA,NA,NA,NA,7/20/2011,10:01:00,Low,4,3,0,0,0,3,4,0,0,3,Spartina alterniflora-tall,40,Juncus gerardii,15,Solidago sempervirens,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,JKG,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1238,0,1,202770,ME,202770_p1,110,NA,NA,NA,NA,NA,NA,7/10/2011,7:03:00,High/Rising,2,3,0,2,0,0,4,0.5,4,0,Spartina alterniflora-tall,8,Spartina alterniflora-short,20,Bolboschoenus robustus,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1239,0,1,35351,ME,35351_p7,111,NA,NA,NA,NA,NA,NA,7/7/2011,7:12:00,High/Falling,3,3,0,3,0,0,3,1,4,0,Spartina alterniflora-tall,15,Spartina patens,12,Typha angustifolia,15,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1240,0,1,27891,ME,27891_p1,112,NA,NA,NA,NA,NA,NA,7/14/2011,7:38:00,High/Rising,0,3,0,5,0,1,0,0,0,0,Typha latifolia,70,Spartina alterniflora-short,20,Juncus gerardii,3,Schoenoplectus americanus,1,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1241,0,1,202378,ME,202378_p14,113,NA,NA,NA,NA,NA,NA,7/11/2011,10:42:00,Low/Falling,0,3,0,5,0,0,0,0,0,0,Spartina patens,7,Prunus maritima,5,Typha angustifolia,55,Schoenoplectus americanus,20,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1242,0,1,32213,ME,32213_p1,114,NA,NA,NA,NA,NA,NA,7/16/2011,7:33:00,Low,0,3,0.5,0,0,1,6,0,0,0,Spartina patens,12,Juncus gerardii,10,Spartina alterniflora-short,3,Solidago sempervirens,1,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1243,0,1,200417,ME,200417_p7,115,NA,NA,NA,NA,NA,NA,7/16/2011,9:03:00,Low/Rising,0,3,0.5,0,0,4,0,0,5,0,Spartina patens,15,Spartina alterniflora-short,5,Limonium carolinianum,2,Solidago sempervirens,1,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
